date,demand,net_generation,total_interchange,ng_nuclear,ng_hydro,ng_solar,ng_wind,ng_natural_gas,temperature_2m,temp_max,temp_min,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,snow_depth,cloud_cover,wind_speed_10m,wind_gusts_10m,weather_code,year,NYNGSP,NYPOP,is_holiday,month,day_of_month,day_of_week,week_of_year,quarter,is_weekend,demand_lag_3d,demand_lag_4d,demand_lag_5d,demand_lag_6d,demand_lag_7d,demand_lag_14d,demand_lag_21d,demand_lag_28d,demand_roll_mean_7d,demand_roll_std_7d,demand_roll_mean_30d,demand_roll_min_30d,demand_roll_max_30d,temperature_2m_lag_1d,temperature_2m_lag_2d,apparent_temperature_lag_1d,apparent_temperature_lag_2d,relative_humidity_2m_lag_1d,relative_humidity_2m_lag_2d,dew_point_2m_lag_1d,dew_point_2m_lag_2d,target_day1,target_day2,target_day3
2019-09-25,417045.0,352062.0,-64983.0,5284.666666666667,3202.708333333333,0.0,320.0833333333333,4788.916666666667,18.4375,25.1,13.0,18.1625,71.20833333333333,12.7375,0.0,0.0,0.0,0.0,6.75,9.091666666666669,35.3,3.0,2019,1710665.6,19544098,0,9,25,2,39,3,0,421298.0,390051.0,392523.0,384095.0,395439.0,497681.0,486226.0,454186.0,404667.8571428572,19368.171781111243,420956.63333333336,368621.0,497681.0,20.85833333333333,25.129166666666663,20.09583333333333,26.120833333333334,65.0,68.33333333333333,13.6375,18.479166666666668,428329.0,402174.0,401556.0
2019-09-26,428329.0,366878.0,-61451.0,5210.208333333333,3149.2916666666665,0.0,704.5833333333334,5096.291666666667,19.92083333333333,28.0,15.4,20.3875,78.20833333333333,15.733333333333334,0.7,0.7,0.0,0.0,27.416666666666668,10.8625,41.4,53.0,2019,1710665.6,19544098,0,9,26,3,39,3,0,494561.0,421298.0,390051.0,392523.0,384095.0,475662.0,437818.0,454697.0,412886.5714285714,38321.87029994132,424143.9666666667,368621.0,497681.0,18.4375,20.85833333333333,18.1625,20.09583333333333,71.20833333333333,65.0,12.7375,13.6375,402174.0,401556.0,396508.0
2019-09-27,402174.0,337711.0,-64463.0,5245.0,3193.0416666666665,0.0,372.1666666666667,4194.125,17.529166666666665,22.0,12.7,17.504166666666666,77.70833333333333,13.141666666666666,0.0,0.0,0.0,0.0,17.875,8.387500000000001,27.0,3.0,2019,1710665.6,19544098,0,9,27,4,39,3,0,441976.0,494561.0,421298.0,390051.0,392523.0,401229.0,407541.0,462388.0,417134.7142857143,39855.66237777584,425883.3,368621.0,497681.0,19.92083333333333,18.4375,20.3875,18.1625,78.20833333333333,71.20833333333333,15.733333333333334,12.7375,401556.0,396508.0,398500.0
2019-09-28,401556.0,332882.0,-68674.0,5240.125,3087.0416666666665,0.0,748.0416666666666,3699.875,21.1375,27.1,16.4,22.33333333333333,81.20833333333333,17.541666666666668,0.0,0.0,0.0,0.0,37.458333333333336,11.05,36.0,3.0,2019,1710665.6,19544098,0,9,28,5,39,3,1,417045.0,441976.0,494561.0,421298.0,390051.0,386589.0,368621.0,420045.0,420221.28571428574,38715.75585690235,425819.3333333333,368621.0,497681.0,17.529166666666665,19.92083333333333,17.504166666666666,20.3875,77.70833333333333,78.20833333333333,13.141666666666666,15.733333333333334,396508.0,398500.0,434392.0
2019-09-29,396508.0,322369.0,-74139.0,5276.958333333333,3105.833333333333,0.0,176.83333333333334,3820.375,20.9625,24.5,17.0,20.60833333333333,69.41666666666667,14.591666666666669,0.0,0.0,0.0,0.0,48.29166666666666,14.575,34.6,3.0,2019,1710665.6,19544098,0,9,29,6,39,3,1,428329.0,417045.0,441976.0,494561.0,421298.0,407893.0,375515.0,391268.0,426540.4285714286,35295.335045190426,425930.5333333333,368621.0,497681.0,21.1375,17.529166666666665,22.33333333333333,17.504166666666666,81.20833333333333,77.70833333333333,17.541666666666668,13.141666666666666,398500.0,434392.0,478401.0
2019-09-30,398500.0,321798.0,-76702.0,5316.333333333333,2783.25,0.0,302.2916666666667,3995.9166666666665,17.8,20.4,15.8,16.154166666666665,61.625,10.295833333333333,0.2,0.2,0.0,0.0,91.16666666666669,12.229166666666666,31.3,51.0,2019,1710665.6,19544098,0,9,30,0,40,3,0,402174.0,428329.0,417045.0,441976.0,494561.0,437030.0,421382.0,415614.0,427919.1428571429,33906.23216769147,424196.8,368621.0,497681.0,20.9625,21.1375,20.60833333333333,22.33333333333333,69.41666666666667,81.20833333333333,14.591666666666669,17.541666666666668,434392.0,478401.0,400963.0
2019-10-01,434392.0,361109.0,-73283.0,5225.541666666667,3036.1666666666665,0.0,714.4166666666666,4940.5,21.3,27.9,16.5,21.629166666666663,74.75,16.458333333333332,0.3,0.3,0.0,0.0,64.54166666666667,13.775,34.6,51.0,2019,1710665.6,19544098,0,10,1,1,40,4,0,401556.0,402174.0,428329.0,417045.0,441976.0,412239.0,438305.0,460670.0,429562.7142857143,31989.334804555936,422425.43333333335,368621.0,497681.0,17.8,20.9625,16.154166666666665,20.60833333333333,61.625,69.41666666666667,10.295833333333333,14.591666666666669,478401.0,400963.0,381082.0
2019-10-02,478401.0,395787.0,-82614.0,5247.083333333333,3147.625,0.0,318.75,6628.458333333333,24.79583333333333,32.2,17.7,26.3125,77.375,20.17083333333333,2.3,2.3,0.0,0.0,52.625,17.229166666666668,43.9,61.0,2019,1710665.6,19544098,0,10,2,2,40,4,0,396508.0,401556.0,402174.0,428329.0,417045.0,395439.0,497681.0,486226.0,426021.28571428574,34342.44668877412,420229.43333333335,368621.0,497681.0,21.3,17.8,21.629166666666663,16.154166666666665,74.75,61.625,16.458333333333332,10.295833333333333,400963.0,381082.0,344548.0
2019-10-03,400963.0,330791.0,-70172.0,5277.083333333333,3176.5,0.0,437.9166666666667,3769.7083333333335,14.375,16.1,12.9,12.675,87.5,12.295833333333334,10.0,10.0,0.0,0.0,100.0,16.683333333333334,40.7,61.0,2019,1710665.6,19544098,0,10,3,3,40,4,0,398500.0,396508.0,401556.0,402174.0,428329.0,384095.0,475662.0,437818.0,412298.28571428574,17406.442760404414,419511.26666666666,368621.0,497681.0,24.79583333333333,21.3,26.3125,21.629166666666663,77.375,74.75,20.17083333333333,16.458333333333332,381082.0,344548.0,357123.0
2019-10-04,381082.0,312332.0,-68750.0,5258.25,2986.958333333333,0.0,398.2083333333333,3344.583333333333,15.329166666666666,18.5,10.6,12.9375,72.41666666666667,9.954166666666667,0.6000000000000001,0.6000000000000001,0.0,0.0,33.875,17.570833333333333,53.6,51.0,2019,1710665.6,19544098,0,10,4,4,40,4,0,434392.0,398500.0,396508.0,401556.0,402174.0,392523.0,401229.0,407541.0,411214.8571428572,15368.009309688074,420948.7333333333,368621.0,497681.0,14.375,24.79583333333333,12.675,26.3125,87.5,77.375,12.295833333333334,20.17083333333333,344548.0,357123.0,404341.0
